text,sentiment,clean_text
life should be exciting today but someone very close to me has mardy bum and its starting to rub off on me!!,neutral,life exciting today someone close mardy bum starting rub
misses Nanny.,negative,misses nanny
_Allison Catch you later Terry....,neutral,allison catch later terry
Kyle is Cody`s wee bro!,neutral,kyle codys wee bro
" Oh you understand French?  Well, maybe I exxagerated it a little bit lol but they all want at least 1/2 years of exp. :-/",neutral,oh understand french well maybe exxagerated little bit lol want least years exp
 pea plants!,neutral,pea plants
thinks castles are fun,positive,thinks castles fun
At anthony`s for prom.,neutral,anthonys prom
"home! day scale from one to ten is an 8  **** i feel old compare to him, haha so cute.",neutral,home day scale one ten feel old compare haha cute
I will move anywhere as long as it has a freaking dishwasher! I despise doing dishes,negative,move anywhere long freaking dishwasher despise dishes
" Im doing ok.  I have a 15 year old going on 35 that is driving me crazy, but that comes with the territory, I guess.",negative,im ok year old going driving crazy comes territory guess
Poor Kella is on meds now for an ear infection; she lost her food all over  twice at the doc`s,negative,poor kella meds ear infection lost food twice docs
" Yes, have to be right for church",positive,yes right church
Trying to find someone to go to the mall with.,neutral,trying find someone go mall
Dhellohannah5 can you please follow me  i need more followers haha,neutral,dhellohannah please follow need followers haha
hm...still workin on my contract.hmm...i`m feelin awful..,negative,hmstill workin contracthmmim feelin awful
I totally forgot my phone at home this morning,negative,totally forgot phone home morning
 Proud 17-year-old here that loves The Carpenters!!!,positive,proud yearold loves carpenters
feels sick to my stomach and idkk whyy,negative,feels sick stomach idkk whyy
Off to work I go,neutral,work go
 so cute you twitting in potuguese!,positive,cute twitting potuguese
" Hey bud, we just shot you an email",neutral,hey bud shot email
" good. yeah i am fine thanks. just dreading history tomorrow, not in the mood for hyperactive 20 year olds lmao",neutral,good yeah fine thanks dreading history tomorrow mood hyperactive year olds lmao
 ew.  sorry zach,negative,ew sorry zach
I know. Im just kidding,neutral,know im kidding
 http://twitpic.com/4jber - aww .... then we wonder why they hate us later..... lol!!,negative,aww wonder hate us later lol
round 2,neutral,round
i hate it when my bff is groundedd  boooooooooo,negative,hate bff groundedd boooooooooo
" The Star Trek in IMAX wasn`t in 3D, but it was huge on the screen.  Still worth watching.",positive,star trek imax wasnt huge screen still worth watching
 Tis me SharonP...,neutral,tis sharonp
getting ready to see my cousins graduate.  gonna miss em.,negative,getting ready see cousins graduate gon na miss em
 **** i shouldnt have left!,negative,shouldnt left
is missing the fun she had with _Army at Eclipse 3  #SArmy #SArmy #SArmy,neutral,missing fun army eclipse sarmy sarmy sarmy
_law_rence &  WHY?! my head feels like the surface of the sun  underneath a beaver pelt.,negative,lawrence head feels like surface sun underneath beaver pelt
LOVED 'Drag Me To Hell' and 'Up'...yeah my Spend the Day Studying plan didn`t happen,neutral,loved drag hell upyeah spend day studying plan didnt happen
http://tinyurl.com/c8nlzh - forgot how much I like this song,neutral,forgot much like song
 aww... me too,neutral,aww
Having a cup of tea,neutral,cup tea
 I`ll have to wait for the YouTube links,neutral,ill wait youtube links
"Finished watching Episode 4&5 of Ruby Metaprogramming Screencasts. Lots of cool tips, great! But need to more coding practices to master.",positive,finished watching episode ruby metaprogramming screencasts lots cool tips great need coding practices master
"Going to twitter in english, for my foreign followers",neutral,going twitter english foreign followers
_city tell brandon I said hi!!,neutral,city tell brandon said hi
" I love the site what a hoot, really enjoy the hair cuts in Thailand, always try to time ir just right, thanks for the tip",positive,love site hoot really enjoy hair cuts thailand always try time ir right thanks tip
Not made it to work  couldn`t get up feelin blurgh,negative,made work couldnt get feelin blurgh
 I have it.  Hehehehe u want the torrent?,neutral,hehehehe u want torrent
On way back home after a crazy night on the coast,neutral,way back home crazy night coast
My throat hurts and I can`t sleep.,negative,throat hurts cant sleep
"Wow, Hugh Jackman TOTALLY bulked up for Wolverine. So so movie...but helloooo nurse! He`s dreeaamy  Yup, my crushed spirit is on the mend.",neutral,wow hugh jackman totally bulked wolverine moviebut helloooo nurse hes dreeaamy yup crushed spirit mend
_amr i`m here  haha,neutral,amr im haha
im depressed on this pretty day  Everyone either is doing something or CAN`T...bleh -.-,negative,im depressed pretty day everyone either something cantbleh
The rain outside motivates me to sleep.,positive,rain outside motivates sleep
"ok i just spent like Ã¯Â¿Â½50 on soundtracks, a galaxy class starship and EVE online. sigh",neutral,ok spent like soundtracks galaxy class starship eve online sigh
 HEY BUCK!!!!  love u loads!! LOVE 'WHAT THE BUCK?!',positive,hey buck love u loads love buck
"Wow, my bed is SO comfy & my nap has been much too short. Getting up for work = do not want.",neutral,wow bed comfy nap much short getting work want
..exams.  haha just remembrd the china buffet king yesterday. vair amusing ....,positive,exams haha remembrd china buffet king yesterday vair amusing
"hmmm dollhouse sounds pretty good, http://bit.ly/z3aZv  i think ima download it and try watching it",positive,hmmm dollhouse sounds pretty good think ima download try watching
 and if i lived in usa i would gotto 2 go to  106 park ma aunty lives in NYC the bronx GRRR,neutral,lived usa would gotto go park aunty lives nyc bronx grrr
"**** these nig*s is all on me, but they won`t get this...'Not without a check!' LMFAO",negative,nigs wont get thisnot without check lmfao
SFTW & pot of tea,neutral,sftw pot tea
thanks do the invite though,positive,thanks invite though
 YOU LOOKED ABSOLUTELY BEAUTIFUL AND ELEGANT.,positive,looked absolutely beautiful elegant
"_Brown Thank you so much Natalie, hope u are well",positive,brown thank much natalie hope u well
" Please send me those youtube links, Erin watched most of them but I was cooking and didn`t get to see the cowboys",negative,please send youtube links erin watched cooking didnt get see cowboys
" That didn`t work, unfortunately.",negative,didnt work unfortunately
Early morning walkies really aren`t my thing... at least it`s vaguely warm,neutral,early morning walkies really arent thing least vaguely warm
get it right! I think I am obsessed with Hydes` voice @_@  I`ve chosen a guitar song to learn for the summer! Time to perfect picking!,positive,get right think obsessed hydes voice ive chosen guitar song learn summer time perfect picking
 Good prices for bulk SMS and Premium SMS too  http://promotion.itagg.com,positive,good prices bulk sms premium sms
is heading in to London to meet with  and  let us know if you`re about  still not sure what time we`re meeting.....,neutral,heading london meet let us know youre still sure time meeting
" Actually, the post shows they know what happens when you overflow...",neutral,actually post shows know happens overflow
What`s worse than a fever and sore throat? Cancelling a trip to see your little bro because of a fever and sore throat.,negative,whats worse fever sore throat cancelling trip see little bro fever sore throat
 The Case of the Gigolo`s Picolo?,neutral,case gigolos picolo
_92 yeah im okayy lots been happening while you not been here !! anyone special at the moment ? ****,neutral,yeah im okayy lots happening anyone special moment
reconnecting with amadeus and friends,neutral,reconnecting amadeus friends
Yea!  Headed home to change and head over to Pelham.  Sad thought... suposed to be heading over there for the NKOTB concert...,negative,yea headed home change head pelham sad thought suposed heading nkotb concert
" black is good... tight, or should I say too tight, not so good.",neutral,black good tight say tight good
 Aw it says the pic doesn`t exist anymore,negative,aw says pic doesnt exist anymore
"Today, i did`t have lunch, cuz wel i embarrass my self with all 'school'  ok, FINAL TESTS and FINAL YEAR aaaaa! thanx God 4 That friends!",negative,today didt lunch cuz wel embarrass self school ok final tests final year aaaaa thanx god friends
is eating chocolate ready break,neutral,eating chocolate ready break
my newsreader is filling up with blogs  yay! keep pm`ing me your blog sites. I love reading them!,positive,newsreader filling blogs yay keep pming blog sites love reading
testing out ymtumbkr on my iphone  http://tumblr.com/xiy1qycvc,neutral,testing ymtumbkr iphone
home alone and no one left me any gummy bears,negative,home alone one left gummy bears
back from melly`s party... i had fun...  i`m sleepy now...,positive,back mellys party fun im sleepy
 Haha...YAY!!! I`M CURED!!!!,positive,hahayay im cured
I guess she`s not the type of songwriter who dreams the great ones.,neutral,guess shes type songwriter dreams great ones
 I know...  it`s already been two weeks!,neutral,know already two weeks
"Sick, sick, sick. This sucks. i can`t even breathe properly",negative,sick sick sick sucks cant even breathe properly
Adding names to my Twitter account and learning how to use this amazing thing!,positive,adding names twitter account learning use amazing thing
 ooh thats an early start  ive got bed planned for that time..ha..LoveYouJonesy ****,positive,ooh thats early start ive got bed planned timehaloveyoujonesy
" It`s allright pastor, jiayou for the book!!",neutral,allright pastor jiayou book
Booo my best friend is leavin for the weekend. What ever will I do without her??,negative,booo best friend leavin weekend ever without
OH MY GOD! OH MY GOD! OH MY GOD! New SUPERNATURAL starts tonight!  New Sam and Dean! Oh My god! can`t breathe!  <3 <3,positive,oh god oh god oh god new supernatural starts tonight new sam dean oh god cant breathe
is never around for the sl100 quiz   I want water park tickets waaaa,neutral,never around sl quiz want water park tickets waaaa
" Hey, did his wife die? I am really confused. I hadn`t been on his MySpace in a little while, but I just read his Twit.",negative,hey wife die really confused hadnt myspace little read twit
i am kind of excited to go to school today. i dont know why. hopefully it will be a good day,positive,kind excited go school today dont know hopefully good day
 Doing a Rainbow and Unicorn film then?  #48hours,neutral,rainbow unicorn film hours
i keep reading contracts as cataracts... Someone should bring me panera,neutral,keep reading contracts cataracts someone bring panera
Guess who has internet at her house? *raises hand* And it`s not dial up.,neutral,guess internet house raises hand dial
"My friend ..has cancelled on me for tomorrow, Now i have nothing to do...this makes me sad...  xxxxxx",negative,friend cancelled tomorrow nothing dothis makes sad xxxxxx
UGH BUT I N33D T0G0 BAD..,negative,ugh nd tg bad
 Are y`all coming out today??? We could go to the graveyard!!  HOORAYY!!!!!,positive,yall coming today could go graveyard hoorayy
my hair won`t turn whiiite,neutral,hair wont turn whiiite
 unfortunately I`m not drunk enough lol and have no money to get drunk  I have had alot though as u can imagine haha,negative,unfortunately im drunk enough lol money get drunk alot though u imagine haha
 Yeah prbly pickin up songs for SingStar. Haven`t checked the last few store updates. And dunno that Cranberries song.,neutral,yeah prbly pickin songs singstar havent checked last store updates dunno cranberries song
tonight was a very bad night,negative,tonight bad night
 Bristol`s is the ish! I LOVE their brunch on Sundays. Ruth Chris is good too but I got sick there once.,neutral,bristols ish love brunch sundays ruth chris good got sick
all mom`s in the world congratulations,positive,moms world congratulations
" but better hurry, so you wouldn`t be labeled as copycats",positive,better hurry wouldnt labeled copycats
is SOOOOO hungry right now! Should`ve eaten before this wedding.,negative,sooooo hungry right shouldve eaten wedding
 welcome to twitter my friend,positive,welcome twitter friend
at    Happy mother`s dayyy Deniseee <3,positive,happy mothers dayyy deniseee
"Ben & Jerry`s fail. Got email for free ice cream. Says click here to redeem coupon. When I click, I get error message  ",negative,ben jerrys fail got email free ice cream says click redeem coupon click get error message
"has anyone else seen this? the  DM notification email says 'reply on we web.' i am all for cool accents, but it`s weird online",negative,anyone else seen dm notification email says reply web cool accents weird online
"YAYAYYAYAYAY Toy Story 3 is coming out. June 18, 2010 though",positive,yayayyayayay toy story coming june though
 I`m straining to hear but it`s very hard from all the way over here.,negative,im straining hear hard way
 awwwh u stuck in traffic  booo!,negative,u stuck traffic booo
" Fear not! You deserve alot, you care for animals. )) I`ll get some food, don`t worry!",positive,fear deserve alot care animals ill get food dont worry
living it up at empire hotel...free bottle service. it ROCKS having connections,positive,living empire hotelfree bottle service rocks connections
"Google Wave presentation: http://bit.ly/2ehfov  I`m not very impressed. It`s nice, but it`s not really for me",neutral,google wave presentation im impressed nice really
" same to you bud. Kudos on your hardcore gym training, it`s a great lifechanging experience, keep it up!!!",positive,bud kudos hardcore gym training great lifechanging experience keep
    - brief interruption- brb. goodnight if i don`t catch u again later. gotta ck something,positive,brief interruption brb goodnight dont catch u later got ta ck something
I still miss him... And i dont think he`s coming back,negative,still miss dont think hes coming back
" dude, was that you in the new Star Trek Burger King commercial? Bud Light AND Burger King? So proud of u man.",positive,dude new star trek burger king commercial bud light burger king proud u man
"MAD AS HELL! SOMEONE STOLE MY PINK & BLACK LEAPORD PRINT PUMPS I WANTED TO WEAR TODAY  BUT TO GOD BE THE GLORY, HE`LL BLESS ME ABUNDANTLY",negative,mad hell someone stole pink black leapord print pumps wanted wear today god glory hell bless abundantly
 you didnt include Taylor in the 'Follow Friday',neutral,didnt include taylor follow friday
I got the new Silverstein CD. aha. Its AMAZING.  I highly recomend it.,positive,got new silverstein cd aha amazing highly recomend
chris came over for exactly one hour  i moped around after he left and ended up falling asleep.,neutral,chris came exactly one hour moped around left ended falling asleep
i`m a bum today,neutral,im bum today
went to the cd store to search for the cd. But,neutral,went cd store search cd
" A big welcome to Twitterlandz grrl! Really wish I could have made it to the Bettie show,  glad to hear it was a success",positive,big welcome twitterlandz grrl really wish could made bettie show glad hear success
<----------- is listening the **** out of Lamb of God,neutral,listening lamb god
Spilled chocolate milk in my car,negative,spilled chocolate milk car
" my hubby.  promised job promotion so we didn`t move, signed a new lease n they withdrew the promotion...",neutral,hubby promised job promotion didnt move signed new lease n withdrew promotion
 plus I just deposited tax return cheque but for first time in 7+ years it didn`t clear immediately,negative,plus deposited tax return cheque first time years didnt clear immediately
LOVE getting gifts in the mail from my very wonderful friends back home!! How I miss Myrtle Beach so much... A little homesick today,neutral,love getting gifts mail wonderful friends back home miss myrtle beach much little homesick today
tomorrow is going to be sooo awkward & embarassing. lights & sounds last night was awesome,neutral,tomorrow going sooo awkward embarassing lights sounds last night awesome
"Still feeling weird about my ex and her engagement.  My mom made things worse.  I don`t even want her, but it`s still odd",negative,still feeling weird ex engagement mom made things worse dont even want still odd
"a band from Hawaii with a Sublime sound, so all you sublime haters can just move along  ? http://blip.fm/~5yy4n",neutral,band hawaii sublime sound sublime haters move along
Hockey was so fukinÃ¯Â¿Â½ good  **** you hole! xD,neutral,hockey fukin good hole xd
 Shop smart.  Shop S Mart.,positive,shop smart shop mart
" yes, that`s what I meant... I don`t have anything to turn it into Hirigana, though.",neutral,yes thats meant dont anything turn hirigana though
 That is INCREDIBLY sweet!!!! What a good Hubby...,positive,incredibly sweet good hubby
 caught tweets on it and got home in time for the last 5 mins of the ITV2 show!! #bgt Out tonight too so will miss it again,negative,caught tweets got home time last mins itv show bgt tonight miss
off to lunch with all the people from aikido,neutral,lunch people aikido
 Too bad I can`t come!  Enjoy urself tho.,neutral,bad cant come enjoy urself tho
Watching ET today!  <3 Supposed to have a clip from New Moon  Hating Drag Me To Hell,neutral,watching et today supposed clip new moon hating drag hell
Oh my god. I literally drove in rain that was so hard that i couldn`t see in front of me. I`m shaking,negative,oh god literally drove rain hard couldnt see front im shaking
 me to mi sausage,neutral,mi sausage
"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo",neutral,got sniffle got kids hubby left work sydney weekend boo hoo
" house probably resembling your kind of heaven no?  maybe Ciaran`s angels have moved in with you, hence inability to locate!",neutral,house probably resembling kind heaven maybe ciarans angels moved hence inability locate
 Good to hear... several of my peeps are working tonight...,positive,good hear several peeps working tonight
 I hope so too.  How are you?,positive,hope
"Actually, I think I`ll be more upset if I lost my data for Cake Mania 3. I was pretty far into the game",neutral,actually think ill upset lost data cake mania pretty far game
Boo....Up DLP is sold out for 8:30,neutral,booup dlp sold
"Just saw Star Trek! It was AMAZING! Seriously, so good. The entire cast was excellent, Spock and Kirk especially.  I want to see it again.",positive,saw star trek amazing seriously good entire cast excellent spock kirk especially want see
 aww  but we miss you here in the USA.,negative,aww miss usa
Its seriously quiet and lonely here without Bunny,negative,seriously quiet lonely without bunny
ROTC brought a climbing wall to work for coworkers to try and climb if they wanted.  I forgot my climbing shoes at home today.,neutral,rotc brought climbing wall work coworkers try climb wanted forgot climbing shoes home today
OK. break over. Back to the books. Have fun lovelies!  ? http://blip.fm/~5z8da,positive,ok break back books fun lovelies
Downing a glass of ginger ale and then relishing an early evening in bed with 'Because I Said So' on Lifetime.,neutral,downing glass ginger ale relishing early evening bed said lifetime
Watching fireworks off the Bay bridge.,neutral,watching fireworks bay bridge
_x Yepp.  Do you Like Dylan or Cole Better?,neutral,x yepp like dylan cole better
still freakin out about missing the game!!!  #jonasnewsongs,negative,still freakin missing game jonasnewsongs
" yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here",neutral,yeah still totally high soooo notlooking forward aug sept
Dang  I left my Rolando`s dinner leftovers at home! I knew I should have put them in the shop fridge last night before we left downtown!,neutral,dang left rolandos dinner leftovers home knew put shop fridge last night left downtown
 no worries,positive,worries
So sad I`m going to miss seeing Pennywise again this year,negative,sad im going miss seeing pennywise year
 haha. Thanks Shannon.  3 out of 5 boats got first.,positive,haha thanks shannon boats got first
 if you`re watching this...I love you.' I almost died. But now...SHE MEANS NOTHING!,neutral,youre watching thisi love almost died nowshe means nothing
woke up an hour early just to study for        a test,neutral,woke hour early study test
 They open at 9 a.m.   And I hope to be there shortly after that.   No guarantees for me though!,neutral,open hope shortly guarantees though
"Is at work....  boo!  The Pin-Ups will be playing at Uncommon Ground Wednesday night at 9 p.m.! (1401 W. Devon Ave., Chicago 60660",neutral,work boo pinups playing uncommon ground wednesday night pm w devon ave chicago
has just got out the shower,neutral,got shower
he`s back! meeting him in 40 mins,neutral,hes back meeting mins
 Even IE8 would be better,positive,even ie would better
" It is, Pinkwind is a thing from Vanessa`s dad. And My sister made me that SN in the 4th grade",neutral,pinkwind thing vanessas dad sister made sn th grade
I cant change my profile picture on Facebook,neutral,cant change profile picture facebook
 she lookd soo freaked out!!poor wee thing,negative,lookd soo freaked outpoor wee thing
omgoodness FINALLY back from dinner with the fam bam!,positive,omgoodness finally back dinner fam bam
was just about to try and  dl the sims 3 but realize my pc don`t meet the standard requirements  i need new pc lol!!!,neutral,try dl sims realize pc dont meet standard requirements need new pc lol
"is happy  and clean, squeaky clean",positive,happy clean squeaky clean
Don`t Chase Me - Shea Fisher download it,neutral,dont chase shea fisher download
"Hmm...Whilst, walking through the city I received an inviataion into an SUV Limo via some prom fellows... Don`t they have dates? Oh boys!",neutral,hmmwhilst walking city received inviataion suv limo via prom fellows dont dates oh boys
"sickkk, it`s been two days since summer started and it suck already!",negative,sickkk two days since summer started suck already
At an 80``S retro prom wishing HE was here to dance with!  I`m gonna miss his great dancing 2nite  but still having a blast & a few drinks,neutral,retro prom wishing dance im gon na miss great dancing nite still blast drinks
why i chose iphone   http://tr.im/kpaE,neutral,chose iphone
i got in a fight with ryan. now hes like crying and im just dead inside. sigggh,negative,got fight ryan hes like crying im dead inside sigggh
Adams morgannnn for jumbo slice,neutral,adams morgannnn jumbo slice
_Bloody_Poet What`s the matter?,neutral,bloodypoet whats matter
 has a name label on his picture too.. i just hadnt added it in when i took this: http://www.twitpic.com/4hap4 picture..,neutral,name label picture hadnt added took picture
  still need to see that movie ! I am all about vampires,neutral,still need see movie vampires
Have a happy Friday and weekend everyone .. TGIF for me is nothing,positive,happy friday weekend everyone tgif nothing
" Yeah, I`ve seen that before, funny   *Hey honey, Jill just sent me a **** in a box*",neutral,yeah ive seen funny hey honey jill sent box
 - JT on SNL tonight.,neutral,jt snl tonight
Studio Ghibli for this year; Ponyo! http://bit.ly/whar8 as always it seems to be perfect  we`ll be waiting till august for it,positive,studio ghibli year ponyo always seems perfect well waiting till august
is going to sleep. Tomorrow Exam Review,neutral,going sleep tomorrow exam review
"Brian (cat) still hasn`t shown up...I feel sad and sick, I`m afraid he`s been eaten by something.    It doesn`t look  good",negative,brian cat still hasnt shown upi feel sad sick im afraid hes eaten something doesnt look good
Missing Nate more than usual tonight,negative,missing nate usual tonight
anyone got an FFE account? if so.. add me,neutral,anyone got ffe account add
" I`ll be one of your 'groovy guys' any time, shortie short  #photofollows",neutral,ill one groovy guys time shortie short photofollows
Birthday tomorrow. Doing jack **** all weekend,negative,birthday tomorrow jack weekend
How Come I Can Never Sleep Past?? Not Good,negative,come never sleep past good
Just snuck out my window.. Now im laying on my roof looking at the stars. Its a nice night out tonight.,positive,snuck window im laying roof looking stars nice night tonight
"I just downloaded a ton of stunning, BEAUTIFUL wallpapers from www.interfacelift.com - go have a look.",positive,downloaded ton stunning beautiful wallpapers go look
this one goes out to Jimmy Fallon and Justin Timberlake...doin` their Gibb Bros show on SNL  ? http://blip.fm/~5z1vd,neutral,one goes jimmy fallon justin timberlakedoin gibb bros show snl
"to be really really... not bored but bad, i won`t know the news  but thats ok. BRB x",neutral,really really bored bad wont know news thats ok brb x
cannot relaxing because she have to practice for her graduation,neutral,relaxing practice graduation
"'Patchouli oil & incense had a surge in popularity in the 1960s & 1970s, mostly among devotees of the free love & hippie lifestyles.'",positive,patchouli oil incense surge popularity mostly among devotees free love hippie lifestyles
hi  godd day eweryone im in a reel good mood to day,positive,hi godd day eweryone im reel good mood day
"Whoo, BGT!! I really must multi-task and do my Art work at the same time though, back at College on Monday!!",neutral,whoo bgt really must multitask art work time though back college monday
"_ According to Mick Jagger, Hindu Ragas are more sfs sort of music",neutral,according mick jagger hindu ragas sfs sort music
 It takes a big man to type a sad tweet like that!,negative,takes big man type sad tweet like
 better than throwing them out,neutral,better throwing
 I was going to but I`m stuck with it as I seem to have misplaced my remote  It`s extra bad tonight as well :|,negative,going im stuck seem misplaced remote extra bad tonight well
 Big Thanks Melody!  Gotta love that sunshine-lots of vit D,positive,big thanks melody got ta love sunshinelots vit
i got baby g wach its zi same as the 1 lady gaga wears in eh eh film clip but in pink!! I LOVE YOU KAY thanks a heap  i win olivia,positive,got baby g wach zi lady gaga wears eh eh film clip pink love kay thanks heap win olivia
Hey! Let`s Follow each other! Wouldn`t that just be awesome!?,positive,hey lets follow wouldnt awesome
" loving the shoes perez, looking fine as always  oh,and lady gaga, what can I say. Outstanding!",positive,loving shoes perez looking fine always ohand lady gaga say outstanding
"this evening,picking up n`pop and go for dinner at Ta Lum Tum Tum (som-tum),Major Avenue..decided to go home(not clubing tonite)..",neutral,eveningpicking npop go dinner ta lum tum tum somtummajor avenuedecided go homenot clubing tonite
Paper writing til my heart`s content,neutral,paper writing til hearts content
 awww such a sweetie. hope your mom has a wonderful mother`s day too,positive,awww sweetie hope mom wonderful mothers day
 yeah dude. Mike is out,neutral,yeah dude mike
 It`s a great movie - My best is the Welsh flatmate,positive,great movie best welsh flatmate
" I got a headache because of all the hard work today, still not ready, with a #Heineken trying to finished up",negative,got headache hard work today still ready heineken trying finished
Rachel is going to have lunch at baixa. And has a lot of stuffs to do.... Wanna come ?,neutral,rachel going lunch baixa lot stuffs wan na come
Just got to the gym but w/no energy,neutral,got gym wno energy
 Im sad i cant go. it makes me sad,negative,im sad cant go makes sad
 same. Was going to try warm milk but I`m lactose intolerant  haha.,neutral,going try warm milk im lactose intolerant haha
Is my picture showing?,neutral,picture showing
about to take my mum out for jewellery shopping and a coffee for mothers day,neutral,take mum jewellery shopping coffee mothers day
so who is in for bring at HK lounge tomorrow ? $12 all you can drink till 5pm... then kareoke. I think it will be a nice Sunday!,positive,bring hk lounge tomorrow drink till pm kareoke think nice sunday
 oh ****! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,negative,oh completely forgot thirsty thursday oh gaga sucks
I wanna feel my chin,neutral,wan na feel chin
 i do but is just a haul vid/photo slideshow only. I only do it for fun  http://www.youtube.com/eyezaddiction,positive,haul vidphoto slideshow fun
feeling so great!,positive,feeling great
AHHHHHHHH!I can`t get miley to notice me......,negative,ahhhhhhhhi cant get miley notice
"Coffee brewing, on this #musicmonday morning i`m #listening to the fray... Here`s to a good week",positive,coffee brewing musicmonday morning im listening fray heres good week
I Wanna be @ JET in the Mirage...     Couldn`t get to Hawaii either   *****Someday***** Much Love To THE_WOCKEEZ and SuperCr3w,positive,wan na jet mirage couldnt get hawaii either someday much love thewockeez supercrw
Just finished yet another amazing book by Susan Elizabeth Philips!!!  God I love her books so much!!! Which one to read next??? hmmm...,positive,finished yet another amazing book susan elizabeth philips god love books much one read next hmmm
_O_C I`m seriously screwed  I haven`t studied at all!!!! :`(,negative,oc im seriously screwed havent studied
well being a retired drummer I can do my own drum roll so all you need to do is read my posts since they take a ton of time  lol,neutral,well retired drummer drum roll need read posts since take ton time lol
being new to Twitter?!?!?,neutral,new twitter
"tired as heck, i wanna go home and sleep but i cant cause im have to be at the wash till my daddy gets off work.",negative,tired heck wan na go home sleep cant cause im wash till daddy gets work
is surfin`..,neutral,surfin
 Did you see Star Trek? Now I can`t sleep.........too much action. Can`t wind down!!!,neutral,see star trek cant sleeptoo much action cant wind
i got a freakin macbook!!!!! hoorayyy! but i freakin deleted phootbooth.,neutral,got freakin macbook hoorayyy freakin deleted phootbooth
Ok. Over exagerrated. Twitter is not to bad.... I guess.,neutral,ok exagerrated twitter bad guess
 HAPPY MOTHERS DAY!  Tell ur mom that`s she an awesome madre & such a great example to the Archuleta familia!!,positive,happy mothers day tell ur mom thats awesome madre great example archuleta familia
" Good morning to you, however it`s night time for me, so I am off to bed *hugs* Have a great day",positive,good morning however night time bed hugs great day
But I do know is that I am extremely happy with him and wouldn`t change him for the world and don`t want anybody else.,positive,know extremely happy wouldnt change world dont want anybody else
Getting the FAB portraits ready to upload today,positive,getting fab portraits ready upload today
 You have DSL? Welcome to 2009!,positive,dsl welcome
Missing my mom today. We made it a 'date' every year to get our flowers together. This yr I was alone. Felt so weird,negative,missing mom today made date every year get flowers together yr alone felt weird
its too hot in my room. i wanna go swimming.,negative,hot room wan na go swimming
 We`ve got a pool still boxed up because I need to level a suitable patch of ground before we can set it up.,neutral,weve got pool still boxed need level suitable patch ground set
 http://twitpic.com/4so0u - OOO i wish i was her  he`s hot,positive,ooo wish hes hot
 I have a new found respect for you now that I know you know the Konami code!,neutral,new found respect know know konami code
 At work at the mo and it`s so sunny here today   Off to see a band tonight!!,neutral,work mo sunny today see band tonight
 Ace @ the exams!,neutral,ace exams
It`s sooo hot 2day!! Put a ton of sunblock on before jogging; still think my face burnt though!,negative,sooo hot day put ton sunblock jogging still think face burnt though
" my name is Jason, but sunshine works too.",neutral,name jason sunshine works
 took my forum access away   fail.,negative,took forum access away fail
"lied last weekend when she said she wouldn`t get upset, just an FYI.",neutral,lied last weekend said wouldnt get upset fyi
" hahaha! Guess you will have to reinforce your skates, haha... Remember who u r my friend, our semi-God with a gluten intolence",positive,hahaha guess reinforce skates haha remember u r friend semigod gluten intolence
 yeah i want to know what that is too!,neutral,yeah want know
the day goes on and on...i think im gonna write a song about it! still thinking itÃ¯Â¿Â½s impossible for me to get a true friend  why????,negative,day goes oni think im gon na write song still thinking impossible get true friend
"OMG i meant  <3 you`re the perfect Wolverine,sir  hehe",positive,omg meant youre perfect wolverinesir hehe
hanging out with my babyy,neutral,hanging babyy
 Not yet.... too early in the AM,neutral,yet early
"_tron oh god, whose tire?",neutral,tron oh god whose tire
i am the only arabic girl who`s online  every one is  a sleep ..,neutral,arabic girl whos online every one sleep
I ate Something I don`t know what it is... Why do I keep Telling things about food,neutral,ate something dont know keep telling things food
Good morning... IÃ¯Â¿Â½m soooo tierd,neutral,good morning im soooo tierd
_n Where can I get some?,neutral,n get
  just wanna be there tonight,neutral,wan na tonight
It`s only 10:30 and I am going to BED! Brain can`t focus at all.. Need a fresh new start. I pray that God grants me a fresh tomorrow.,neutral,going bed brain cant focus need fresh new start pray god grants fresh tomorrow
" very well, nothing flash - but different to chocolate 4 a change. good 2 meet U yesterday  gr8 atmosphere & discussion",positive,well nothing flash different chocolate change good meet u yesterday gr atmosphere discussion
I took my antibiotics and I still feel like ****,negative,took antibiotics still feel like
How can you guys lived in a city (paris)where u spend you entire life in the trafficjam...grrrr ...m` not used to it anymore,neutral,guys lived city pariswhere u spend entire life trafficjamgrrrr used anymore
...Nomore adventure time,negative,nomore adventure time
"happy bank holiday Monday, Tweeteramas! I`ll be spending the day doing yoga and having OCD attacks. You?",positive,happy bank holiday monday tweeteramas ill spending day yoga ocd attacks
"Laura`s gone for the weekend, I miss her already!",negative,lauras gone weekend miss already
had nutella croissant+mango+melon+coffee and a lovely stalk of iris for breakfast in bed courtesy of N  Have the house to myself til noon,positive,nutella croissantmangomeloncoffee lovely stalk iris breakfast bed courtesy n house til noon
Whuuurrrrr - glands really swollen now. Guess the weekend`s a blow out.,negative,whuuurrrrr glands really swollen guess weekends blow
All my spare time seems `twill be spent doing homework this weekend.,neutral,spare time seems twill spent homework weekend
